State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),"Under $25,000","$25,000 to $49,999","$50,000 to $74,999","$75,000 to $99,999","$100,000 and over",Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Nebraska,Custer,49.61,50.39,6.95,18.71,5.27,8.73,10.52,15.49,14.13,9.99,10.88,97.48,0.26,0.32,0.14,0.0,0.82,0.99,1.97,96.45,10.64,14.12,8.36,5.67,3.13,50.37,1.65,27.52,65.38,12.34,706
Nebraska,Dakota,49.93,50.07,9.67,22.54,9.27,11.8,12.03,13.34,10.52,6.36,5.02,70.5,3.14,2.69,3.0,0.21,18.15,2.3,35.32,55.2,8.68,10.65,8.33,3.32,3.68,50.94,2.73,20.28,69.57,17.4,707
Nebraska,Dawes,49.65,50.35,5.82,16.68,20.27,9.39,9.02,11.86,11.11,8.11,8.22,89.39,1.46,3.94,1.03,0.5,1.13,2.54,3.33,87.76,14.26,12.26,6.15,3.37,3.1,55.82,2.58,25.66,60.71,13.06,708
Nebraska,Dawson,50.53,49.47,8.6,22.19,7.75,10.65,12.44,13.4,11.7,6.91,6.96,78.02,3.06,0.82,0.58,0.18,15.24,2.1,31.84,63.57,10.68,10.58,8.11,4.02,3.23,49.63,2.49,22.77,68.49,15.98,709
Wyoming,Platte,49.65,50.35,5.55,17.13,5.77,8.03,10.88,15.97,16.81,11.85,8.88,95.4,0.32,0.44,0.37,0.06,1.96,1.45,6.69,91.24,11.27,13.86,7.97,4.55,5.47,49.15,2.26,29.26,63.4,14.84,1040
Wyoming,Sheridan,50.02,49.98,6.95,17.05,8.03,10.43,11.45,15.45,15.55,8.51,7.11,95.42,0.37,1.23,0.66,0.08,0.72,1.52,3.48,93.14,9.28,12.59,7.83,5.23,6.87,50.95,1.55,26.07,67.64,14.6,1249
Wyoming,Sublette,54.16,45.84,7.86,17.29,7.56,13.38,13.54,16.94,13.75,6.42,3.72,93.22,0.31,0.85,0.5,0.01,3.74,1.38,6.95,90.37,3.7,6.36,5.91,4.97,9.78,47.91,1.99,21.44,75.91,14.22,277
Wyoming,Sweetwater,52.16,47.84,9.09,19.85,10.07,14.45,12.12,14.8,11.75,4.9,3.42,88.45,1.0,0.97,0.77,0.1,6.39,2.33,15.27,80.88,5.3,7.12,8.24,6.37,10.45,51.4,2.55,19.45,75.71,14.54,278
Wyoming,Teton,52.55,47.45,6.53,13.9,9.41,17.54,15.48,14.62,13.06,6.34,3.51,88.39,0.23,0.52,1.1,0.07,8.05,1.63,14.99,82.21,4.75,6.74,7.24,4.78,11.57,60.65,2.51,16.95,70.87,19.18,279
Wyoming,Uinta,50.49,49.51,9.26,22.92,7.45,12.46,12.37,15.13,12.14,5.31,3.56,92.4,0.26,0.8,0.29,0.17,4.07,2.01,8.78,88.53,6.96,7.75,7.38,5.1,7.29,48.39,2.98,19.91,75.01,14.75,280
Wyoming,Weston,52.58,47.42,6.63,16.8,7.78,11.0,11.47,16.27,14.69,8.52,7.42,95.52,0.29,1.26,0.28,0.04,0.93,1.68,3.0,93.81,7.41,12.85,9.54,6.49,6.67,51.43,1.21,27.43,66.4,13.57,1041
