County,State,Population 18 to 24 years,Less than high school graduate (Population 18 to 24 years),High school graduate (Population 18 to 24 years),Some college or associate's degree (Population 18 to 24 years),Bachelor's degree or higher (Population 18 to 24 years),Population 25 years and over,Less than 9th grade (Population 25 years and over),9th to 12th grade (Population 25 years and over),High school graduate (Population 25 years and over),Some college no degree (Population 25 years and over),Associate's degree (Population 25 years and over),Bachelor's degree (Population 25 years and over),Graduate or professional degree (Population 25 years and over),Percent high school graduate or higher (Population 25 years and over),Percent bachelor's degree or higher (Population 25 years and over),Population 25 to 34 years,High school graduate or higher (Population 25 to 34 years),Bachelor's degree or higher (Population 25 to 34 years),Population 35 to 44 years,High school graduate or higher (Population 35 to 44 years),Bachelor's degree or higher (Population 35 to 44 years),Population 45 to 64 years,High school graduate or higher (Population 45 to 64 years),Bachelor's degree or higher (Population 45 to 64 years),Population 65 and over,High school graduate or higher (Population 65 and over),Bachelor's degree or higher (Population 65 and over),Less than high school grad poverty rate (age 25+),High school grad poverty rate (age 25+),Some college or associate's degree poverty rate (age 25+),Bachelor's degree or higher poverty rate (age 25+),Population 25 years and over with earnings median earnings,Less than high school grad median earnings,High school grad median earnings,Some college or associate's degree median earnings,Bachelor's degree median earnings,Graduate or professional degree median earnings,FID
Nebraska,Webster,249,32,112,75,30,"2,477",32,95,805,618,373,338,216,"2,350",554,358,340,89,340,340,91,981,921,210,798,749,164,18.3%,5.3%,6.8%,4.4%,"34,072",-,"31,728","30,985","39,688","72,500",1389
Nebraska,Wheeler,12,5,3,4,0,586,6,20,156,165,92,95,52,560,147,67,67,17,62,57,2,238,230,68,219,206,60,3.8%,14.7%,14.0%,4.1%,"37,708","20,313","50,208","33,056","40,179","65,859",1390
Nebraska,York,"1,256",149,366,481,260,"9,247",139,392,"2,471","2,252","1,460","1,624",909,"8,716","2,533","1,712","1,615",495,"1,478","1,407",637,"3,304","3,195",736,"2,753","2,499",665,29.7%,7.0%,5.8%,5.1%,"40,588","22,738","32,170","37,158","46,127","57,799",1392
Nevada,Churchill,"2,197",495,742,838,122,"16,823",577,600,"4,904","5,679","1,909","2,287",867,"15,646","3,154","3,029","2,879",656,"2,534","2,261",367,"6,522","6,222","1,147","4,738","4,284",984,31.4%,13.1%,9.7%,3.3%,"37,320","26,203","31,858","39,229","53,214","64,702",1396
Nevada,Clark,"184,022","27,015","78,328","67,808","10,871","1,528,148","88,025","122,035","432,400","377,165","124,001","254,714","129,808","1,318,088","384,522","332,756","293,651","79,969","307,638","261,604","82,067","557,577","477,546","135,421","330,177","285,287","87,065",19.6%,13.4%,10.2%,5.9%,"37,987","28,293","32,146","38,116","49,630","67,728",1399
Nevada,Douglas,"2,830",334,998,"1,324",174,"37,672",647,"1,549","8,907","10,078","4,491","7,588","4,412","35,476","12,000","4,654","4,400","1,548","4,753","4,292","1,314","14,435","13,639","4,265","13,830","13,145","4,873",19.2%,8.0%,7.0%,2.5%,"39,122","38,942","32,530","36,747","50,243","67,076",1400
Nevada,Elko,"4,531",682,"1,736","1,909",204,"33,895","1,799","2,675","11,199","9,393","3,118","3,780","1,931","29,421","5,711","7,792","6,925","1,115","6,808","5,803","1,311","13,163","11,627","2,341","6,132","5,066",944,20.0%,10.9%,7.0%,4.6%,"49,847","26,165","45,306","54,080","50,195","75,887",1401
Nevada,Esmeralda,7,0,1,6,0,885,40,138,239,251,68,113,36,707,149,112,90,20,133,102,31,378,277,15,262,238,83,44.3%,9.7%,2.8%,6.0%,"25,952","25,469","27,368","16,563","71,875",-,1404
Nevada,Eureka,111,57,8,46,0,"1,217",40,21,535,395,84,114,28,"1,156",142,124,123,22,233,210,73,521,507,28,339,316,19,72.9%,5.2%,9.4%,32.4%,"54,934","2,500-","54,707","74,750",-,-,1406
Nevada,Humboldt,"1,206",127,621,374,84,"11,173",709,"1,075","3,629","2,730",924,"1,449",657,"9,389","2,106","2,401","2,099",356,"2,018","1,708",411,"4,103","3,420",886,"2,651","2,162",453,18.1%,16.0%,8.6%,6.8%,"44,429","35,513","41,106","40,833","65,197","76,728",1407
Nevada,Lander,179,76,90,13,0,"3,884",204,338,"1,363",915,585,265,214,"3,342",479,928,842,109,654,654,58,"1,555","1,221",217,747,625,95,28.2%,19.0%,2.6%,0.0%,"57,439","51,086","37,500","74,355",-,"54,875",1408
Nevada,Lincoln,522,87,333,102,0,"3,672",104,377,"1,548",791,250,340,262,"3,191",602,626,537,84,513,442,76,"1,379","1,282",272,"1,154",930,170,11.7%,7.7%,2.2%,1.4%,"46,766",-,"39,606","47,198","47,174","74,453",1410
Nevada,Lyon,"3,569",620,"1,939","1,010",0,"40,302","1,583","3,711","13,264","11,863","4,295","3,909","1,677","35,008","5,586","6,850","6,148",871,"6,635","5,596",725,"15,039","12,961","1,801","11,778","10,303","2,189",22.1%,9.6%,6.1%,6.8%,"38,806","31,254","33,936","41,523","46,065","67,628",1412
Nevada,Mineral,525,127,237,161,0,"3,260",58,288,"1,225","1,060",154,390,85,"2,914",475,375,342,49,388,371,36,"1,149",932,110,"1,348","1,269",280,22.5%,16.1%,17.5%,16.5%,"35,000","33,942","30,341","33,750",-,"64,375",1415
Nevada,Nye,"2,703",665,"1,365",625,48,"35,089","1,427","3,433","12,543","10,171","3,169","2,643","1,703","30,229","4,346","4,178","3,507",327,"4,008","3,251",372,"13,269","11,554","1,417","13,634","11,917","2,230",18.7%,18.4%,12.1%,8.1%,"33,703","27,123","33,833","31,969","45,388","52,927",1417
Nevada,Pershing,347,71,148,121,7,"5,143",224,674,"2,113","1,248",354,229,301,"4,245",530,"1,099",913,53,972,715,70,"2,014","1,627",265,"1,058",990,142,11.8%,11.5%,4.6%,7.2%,"32,615",-,"32,988","25,109","75,000","73,173",1419
Nevada,Storey,352,123,146,83,0,"3,055",16,162,721,871,269,710,306,"2,877","1,016",224,216,7,467,467,273,"1,072","1,035",303,"1,292","1,159",433,13.6%,8.1%,11.2%,0.8%,"43,750",-,"42,588","38,553","60,800","64,306",1420
Nevada,Washoe,"41,126","4,723","13,263","19,052","4,088","322,617","14,565","21,312","76,457","80,419","27,708","63,308","38,848","286,740","102,156","69,997","62,608","22,337","57,400","50,056","18,732","119,298","105,184","35,898","75,922","68,892","25,189",18.2%,10.3%,8.5%,4.4%,"41,321","28,794","35,291","39,814","50,850","72,294",1423
Nevada,White Pine,584,193,151,240,0,"7,158",313,521,"3,064","1,652",688,676,244,"6,324",920,"1,440","1,128",122,"1,470","1,254",291,"2,511","2,335",324,"1,737","1,607",183,51.3%,10.6%,8.4%,1.8%,"43,842",-,"35,905","44,478","55,625","88,889",1425
Nevada,Carson City,"4,137",613,"1,618","1,782",124,"39,827","1,623","3,136","10,587","11,286","4,092","5,990","3,113","35,068","9,103","7,167","6,299","1,500","6,471","5,520","1,274","14,968","13,174","3,646","11,221","10,075","2,683",15.1%,10.4%,8.6%,4.2%,"37,599","25,043","34,657","39,006","43,504","62,034",1428
New Hampshire,Belknap,"4,293",664,"1,485","1,602",542,"45,604",707,"2,570","12,975","9,689","5,207","8,412","6,044","42,327","14,456","6,487","6,080","1,897","6,667","6,002","2,189","18,965","17,738","5,618","13,485","12,507","4,752",22.2%,8.8%,7.7%,2.7%,"40,607","25,497","32,790","38,136","48,319","72,767",1432
New Hampshire,Carroll,"2,900",295,"1,245","1,070",290,"38,027",417,"1,647","10,291","7,398","4,216","8,263","5,795","35,963","14,058","4,436","4,159","1,525","4,510","4,314","1,299","15,372","14,419","5,442","13,709","13,071","5,792",22.2%,8.6%,7.8%,4.4%,"38,018","24,931","33,333","34,798","40,532","67,075",1435
New Hampshire,Cheshire,"8,908",438,"2,124","5,561",785,"53,534","1,176","2,332","16,725","9,806","5,451","11,344","6,700","50,026","18,044","9,022","8,372","2,667","7,960","7,548","3,202","21,385","20,309","7,104","15,167","13,797","5,071",19.4%,9.2%,8.1%,2.5%,"41,324","31,057","37,128","36,359","48,442","58,910",1437
New Hampshire,Coos,"2,096",383,776,671,266,"24,271",980,"1,920","9,482","4,471","2,643","3,047","1,728","21,371","4,775","3,517","3,178",612,"3,431","2,987",683,"9,864","8,961","1,803","7,459","6,245","1,677",22.0%,11.9%,7.2%,6.9%,"33,943","26,765","30,858","33,659","42,349","46,563",1440
New Hampshire,Grafton,"11,905",633,"3,505","6,433","1,334","63,872","1,479","3,245","16,191","10,662","5,390","13,651","13,254","59,148","26,905","11,134","10,415","5,326","9,152","8,478","4,257","24,994","23,426","9,939","18,592","16,829","7,383",25.8%,12.1%,7.9%,5.2%,"40,860","22,369","31,085","36,636","48,067","70,793",1442
New Hampshire,Hillsborough,"35,809","4,133","12,967","12,954","5,755","294,522","8,322","14,179","75,661","52,618","30,016","72,309","41,417","272,021","113,726","57,109","53,685","24,580","50,825","47,498","22,771","121,383","112,900","45,048","65,205","57,938","21,327",18.8%,8.8%,5.3%,2.9%,"49,655","31,012","38,429","43,943","61,029","75,963",1443
New Hampshire,Merrimack,"14,057","1,633","4,366","6,562","1,496","107,969","2,464","4,960","30,719","18,838","12,355","21,924","16,709","100,545","38,633","18,569","17,549","7,012","17,567","16,513","7,434","44,217","41,371","15,047","27,616","25,112","9,140",15.8%,7.9%,4.8%,3.0%,"46,412","30,640","40,195","42,693","52,126","70,909",1444
New Hampshire,Rockingham,"23,158","2,304","8,298","8,165","4,391","225,281","2,969","7,501","57,481","39,844","23,174","59,273","35,039","214,811","94,312","36,507","34,870","17,420","36,014","34,867","17,375","97,757","94,173","40,162","55,003","50,901","19,355",12.2%,5.9%,4.5%,2.0%,"54,584","36,830","43,230","47,716","67,488","80,061",1448
New Hampshire,Strafford,"20,346",925,"5,195","11,486","2,740","85,844","2,026","3,694","23,645","16,342","9,911","19,536","10,690","80,124","30,226","17,405","16,567","7,152","14,666","14,153","6,345","34,125","32,310","10,794","19,648","17,094","5,935",20.7%,9.8%,4.8%,3.5%,"45,250","26,213","33,684","43,351","53,984","69,665",1453
New Hampshire,Sullivan,"2,879",266,"1,303","1,044",266,"32,238",840,"2,027","11,783","5,033","3,005","6,055","3,495","29,371","9,550","4,981","4,620","1,501","4,713","4,446","1,395","13,286","12,152","3,748","9,258","8,153","2,906",36.4%,10.3%,8.0%,4.7%,"42,816","27,462","38,399","42,961","52,822","60,784",1454
New Jersey,Atlantic,"23,886","2,306","7,794","11,027","2,759","184,504","8,882","13,548","59,531","36,183","13,262","34,403","18,695","162,074","53,098","31,720","29,280","9,687","29,356","25,536","9,567","75,522","67,203","21,770","47,906","40,055","12,074",25.5%,13.0%,9.5%,4.3%,"38,117","23,921","30,837","36,529","56,696","77,773",1461
New Jersey,Bergen,"75,558","7,015","18,489","31,703","18,351","658,233","25,207","22,144","144,267","93,249","39,857","203,933","129,576","610,882","333,509","107,123","102,570","62,622","122,685","116,377","74,196","267,208","251,719","134,647","161,217","140,216","62,044",17.8%,9.3%,5.8%,3.3%,"60,855","29,236","38,981","49,015","72,163","96,799",1465
New Jersey,Burlington,"37,209","4,196","12,292","15,141","5,580","316,051","6,466","13,293","88,200","60,213","26,320","78,710","42,849","296,292","121,559","55,866","53,593","24,924","55,306","52,761","25,284","128,958","121,984","49,252","75,921","67,954","22,099",16.7%,6.9%,5.7%,2.0%,"54,652","27,266","39,487","46,791","68,766","91,741",1470
New Jersey,Camden,"41,752","5,162","13,628","16,286","6,676","349,563","15,382","23,709","103,229","68,463","26,042","69,890","42,848","310,472","112,738","70,199","65,011","26,259","64,502","58,657","24,776","135,471","120,582","41,487","79,391","66,222","20,216",27.8%,12.3%,9.3%,3.5%,"45,728","24,875","34,311","41,116","60,812","81,408",1472
New Jersey,Cape May,"6,575",810,"2,385","2,548",832,"69,871","1,756","2,856","22,409","13,801","5,605","15,077","8,367","65,259","23,444","9,576","9,281","3,458","8,821","8,033","3,012","26,816","25,460","9,251","24,658","22,485","7,723",25.9%,12.0%,7.6%,2.8%,"43,369","20,226","33,055","38,623","56,255","75,920",1477
New Jersey,Cumberland,"12,355","2,293","5,025","3,930","1,107","101,692","7,785","12,056","39,546","18,370","7,036","11,307","5,592","81,851","16,899","21,293","17,750","3,371","19,613","15,632","2,961","37,947","31,104","5,634","22,839","17,365","4,933",26.4%,15.1%,8.3%,4.6%,"32,892","22,680","29,239","35,532","55,249","67,641",1482
New Jersey,Essex,"70,467","8,503","22,172","29,848","9,944","538,203","36,110","35,639","150,173","88,404","32,767","114,298","80,812","466,454","195,110","109,339","100,182","39,256","110,691","98,065","45,175","208,819","181,867","76,511","109,354","86,340","34,168",28.4%,18.3%,11.4%,4.2%,"44,398","23,855","31,436","39,269","63,159","91,461",1483
New Jersey,Gloucester,"25,560","1,549","7,800","12,148","4,063","202,353","4,662","8,571","64,570","37,470","18,692","45,734","22,654","189,120","68,388","36,198","34,465","14,830","36,375","34,784","16,357","83,507","78,840","26,769","46,273","41,031","10,432",18.9%,8.6%,4.6%,2.1%,"53,616","29,964","40,323","46,390","66,469","84,638",1484
New Jersey,Hudson,"53,325","5,407","13,166","22,602","12,150","481,233","41,255","27,639","117,550","60,845","22,303","127,136","84,505","412,339","211,641","141,021","133,639","88,548","106,493","95,877","54,643","153,330","128,489","50,534","80,389","54,334","17,916",25.7%,15.6%,11.9%,5.4%,"50,251","24,338","30,610","37,693","70,330","91,665",1487
New Jersey,Hunterdon,"11,246","1,953","3,273","3,766","2,254","89,662","1,725","2,316","18,384","13,111","5,700","28,619","19,807","85,621","48,426","11,218","10,735","6,246","13,239","12,714","8,355","41,891","40,647","23,884","23,314","21,525","9,941",12.8%,7.6%,4.2%,1.7%,"67,971","29,792","42,402","51,959","81,528","97,513",1488
New Jersey,Mercer,"41,341","3,791","9,968","21,320","6,262","248,245","11,469","14,288","63,046","36,284","15,094","57,526","50,538","222,488","108,064","45,768","41,521","20,031","46,686","41,423","22,088","99,437","90,434","44,976","56,354","49,110","20,969",26.1%,12.9%,8.1%,3.4%,"52,299","26,751","32,913","44,043","65,810","94,450",1493
New Jersey,Middlesex,"76,728","5,340","17,862","42,430","11,096","568,651","27,570","29,700","139,729","83,278","36,061","150,370","101,943","511,381","252,313","110,428","104,483","58,594","113,375","103,870","61,207","220,553","198,481","92,568","124,295","104,547","39,944",19.9%,9.2%,6.2%,3.1%,"53,926","27,450","37,169","45,731","67,276","91,185",1497
New Jersey,Monmouth,"52,111","4,960","14,184","20,609","12,358","437,121","10,597","16,728","99,354","70,989","32,536","125,760","81,157","409,796","206,917","66,655","63,739","35,169","71,051","66,378","40,294","189,654","179,921","90,435","109,761","99,758","41,019",17.7%,9.1%,5.6%,2.9%,"60,243","25,323","40,191","48,351","72,105","93,151",1504
New Jersey,Morris,"42,022","3,917","11,411","16,046","10,648","346,577","9,671","9,728","66,295","46,856","22,501","112,546","78,980","327,178","191,526","53,913","52,327","34,322","60,430","56,640","38,526","148,058","141,576","82,209","84,176","76,635","36,469",13.4%,7.2%,5.7%,2.3%,"67,246","31,201","40,647","50,746","79,630","104,220",1511
New Jersey,Ocean,"44,254","4,543","14,056","18,503","7,152","412,804","10,874","20,440","138,103","81,276","32,689","85,386","44,036","381,490","129,422","65,659","62,446","25,959","60,657","55,774","23,702","150,478","141,565","45,458","136,010","121,705","34,303",18.0%,9.1%,6.9%,4.6%,"48,003","30,109","37,713","44,129","60,274","70,879",1546
New Jersey,Passaic,"48,693","5,922","17,137","19,452","6,182","334,179","29,142","22,687","112,680","53,127","17,851","66,762","31,930","282,350","98,692","67,801","61,472","23,628","63,066","53,616","19,151","129,843","111,183","37,618","73,469","56,079","18,295",26.5%,13.8%,8.9%,3.5%,"42,617","25,254","32,474","42,167","62,380","83,027",1551
New Jersey,Salem,"5,206",607,"1,796","1,970",833,"44,054","1,531","3,063","16,967","8,470","4,471","6,396","3,156","39,460","9,552","7,252","6,766","1,597","7,253","6,699","2,062","17,902","16,393","3,887","11,647","9,602","2,006",17.5%,14.1%,10.0%,3.4%,"43,318","27,481","35,233","42,179","60,689","74,483",1553
New Jersey,Somerset,"27,044","2,908","6,892","10,584","6,660","230,760","6,558","6,819","44,899","29,624","14,628","69,810","58,422","217,383","128,232","36,312","34,681","21,052","42,493","40,494","26,622","99,863","95,059","58,011","52,092","47,149","22,547",9.9%,8.3%,5.2%,2.4%,"65,866","28,730","37,461","46,912","75,974","109,053",1558
New Jersey,Sussex,"11,457","1,271","4,206","4,181","1,799","101,709","1,398","3,292","30,877","20,493","8,427","24,641","12,581","97,019","37,222","15,309","14,911","6,459","16,050","15,602","7,200","45,867","43,820","16,022","24,483","22,686","7,541",12.7%,6.2%,4.9%,2.7%,"56,437","39,112","45,076","49,908","69,996","91,580",1561
New Jersey,Union,"46,674","4,986","14,048","20,191","7,449","378,158","27,585","21,057","106,748","61,692","20,955","84,189","55,932","329,516","140,121","70,874","65,250","27,872","76,200","66,768","32,141","150,829","133,026","56,228","80,255","64,472","23,880",16.3%,11.1%,7.2%,3.1%,"49,698","26,430","35,342","42,242","67,600","91,241",1566
New Jersey,Warren,"9,001",605,"3,155","3,910","1,331","75,878","2,241","3,322","23,296","14,056","6,774","17,657","8,532","70,315","26,189","11,765","11,326","4,948","11,829","10,994","4,551","33,150","31,051","11,678","19,134","16,944","5,012",18.6%,7.7%,6.5%,3.8%,"52,169","25,538","41,820","47,974","65,285","70,482",1570
New Mexico,Bernalillo,"61,392","8,812","18,478","28,242","5,860","469,939","18,708","28,316","107,730","108,599","40,784","91,786","74,016","422,915","165,802","101,590","93,268","34,474","87,810","79,175","31,994","169,654","152,623","57,915","110,885","97,849","41,419",28.5%,16.8%,14.0%,6.1%,"37,313","22,323","28,044","33,288","45,808","67,355",1574
New Mexico,Catron,179,29,86,64,0,"2,858",129,80,"1,200",772,201,286,190,"2,649",476,155,155,17,398,337,0,831,810,80,"1,474","1,347",379,60.3%,24.3%,15.2%,2.7%,"23,939","2,500-","23,385","34,179","37,333",-,1576
New Mexico,Chaves,"6,373","1,199","2,916","1,996",262,"41,417","4,529","4,017","11,013","10,721","3,816","4,922","2,399","32,871","7,321","8,379","6,895","1,367","7,617","5,987","1,404","15,187","12,193","2,381","10,234","7,796","2,169",31.0%,19.1%,11.8%,4.1%,"31,726","21,399","28,399","29,046","48,540","55,809",1578
New Mexico,Cibola,"2,284",594,970,687,33,"18,217",797,"2,581","5,526","4,246","1,913","2,005","1,149","14,839","3,154","3,859","3,303",864,"3,558","2,728",308,"6,301","5,373","1,081","4,499","3,435",901,39.3%,26.9%,20.7%,6.9%,"28,663","19,945","25,125","26,670","43,082","73,125",1580
New Mexico,Colfax,791,128,382,257,24,"9,121",315,824,"2,771","2,381",876,"1,189",765,"7,982","1,954","1,245","1,062",162,"1,273","1,112",237,"3,252","2,939",681,"3,351","2,869",874,35.6%,18.1%,14.7%,8.3%,"25,172","14,345","22,772","25,208","41,934","50,329",1582
New Mexico,Curry,"5,908",839,"2,218","2,649",202,"30,515","2,336","3,479","7,874","7,807","2,849","4,133","2,037","24,700","6,170","8,618","7,585","2,171","5,869","4,478","1,042","9,889","7,904","1,854","6,139","4,733","1,103",30.6%,16.6%,11.3%,8.1%,"32,798","24,366","30,664","33,585","41,307","60,959",1586
New Mexico,De Baca,203,70,32,59,42,941,46,123,260,338,49,63,62,772,125,203,192,0,196,127,27,252,230,76,290,223,22,36.7%,12.2%,9.9%,9.8%,"31,090","30,613","35,650","26,406","25,882","47,625",1589
New Mexico,Doña Ana,"31,509","3,445","8,178","17,005","2,881","132,723","14,945","10,856","28,539","28,448","10,781","22,915","16,239","106,922","39,154","28,299","25,754","7,834","23,958","19,612","7,245","46,263","36,972","13,787","34,203","24,584","10,288",37.9%,17.1%,18.4%,6.5%,"30,251","16,353","24,096","29,202","40,187","56,878",1590
New Mexico,Eddy,"5,101","1,317","2,239","1,057",488,"37,467","2,154","3,984","12,171","8,980","3,745","4,021","2,412","31,329","6,433","8,272","7,233","1,227","7,336","6,001","1,315","13,504","11,433","2,245","8,355","6,662","1,646",22.9%,14.6%,12.3%,4.4%,"45,225","30,202","41,528","45,450","57,051","61,250",1592
New Mexico,Grant,"2,039",168,786,958,127,"19,959",981,"1,531","5,655","4,991","1,686","3,100","2,015","17,447","5,115","2,905","2,602",671,"2,904","2,426",602,"6,697","6,275","1,541","7,453","6,144","2,301",34.7%,22.6%,19.7%,11.6%,"27,244","16,742","18,843","26,391","38,539","46,813",1594
New Mexico,Guadalupe,149,53,48,48,0,"3,429",218,378,"1,632",644,265,152,140,"2,833",292,660,535,134,642,595,28,"1,229","1,116",115,898,587,15,31.7%,9.5%,6.4%,6.2%,"26,376","23,125","20,860","32,000","21,534","34,563",1595
New Mexico,Harding,44,3,9,32,0,329,14,34,69,66,66,49,31,281,80,70,66,11,58,55,31,75,72,14,126,88,24,35.4%,2.9%,9.8%,5.0%,"35,000",-,"29,583","42,813","28,438",-,1597
New Mexico,Hidalgo,283,56,127,83,17,"3,021",203,327,"1,010",646,234,403,198,"2,491",601,446,347,44,512,440,92,"1,137",994,224,926,710,241,43.9%,19.3%,8.9%,13.6%,"27,314","19,583","28,750","32,672","18,594","46,625",1600
New Mexico,Lea,"6,910","1,372","2,352","3,020",166,"42,233","4,959","5,361","13,524","8,886","3,343","3,467","2,693","31,913","6,160","10,221","8,411","1,105","9,066","7,262","1,557","15,154","10,905","2,306","7,792","5,335","1,192",20.8%,15.9%,14.8%,2.9%,"44,320","32,737","42,361","40,763","61,279","65,725",1604
New Mexico,Lincoln,"1,291",123,498,600,70,"14,884",392,"1,058","4,909","3,747","1,039","2,460","1,279","13,434","3,739","1,895","1,704",197,"1,989","1,785",571,"5,385","4,782","1,049","5,615","5,163","1,922",19.6%,8.5%,16.0%,4.9%,"26,016","18,497","25,412","24,326","43,217","51,480",1613
New Mexico,Los Alamos,"1,222",102,434,407,279,"13,466",93,168,"1,341","1,863",903,"3,394","5,704","13,205","9,098","2,391","2,332","1,635","2,296","2,278","1,598","5,432","5,334","3,746","3,347","3,261","2,119",20.1%,7.2%,5.0%,1.2%,"77,662","85,809","43,158","59,505","72,665","117,576",1618
New Mexico,Luna,"2,244",522,"1,097",593,32,"15,463","2,133","2,303","5,570","2,579",859,"1,161",858,"11,027","2,019","2,877","2,272",139,"2,436","1,948",379,"5,215","3,720",696,"4,935","3,087",805,28.3%,22.4%,19.9%,7.1%,"23,732","14,677","23,605","25,509","42,730","54,688",1622
New Mexico,McKinley,"6,944","1,496","2,971","2,358",119,"44,344","3,757","5,866","16,131","10,174","3,295","2,696","2,425","34,721","5,121","10,711","9,409","1,163","8,495","7,101",967,"16,257","12,798","1,955","8,881","5,413","1,036",40.7%,32.9%,26.3%,6.3%,"27,771","17,376","22,401","29,670","46,594","61,442",1626
New Mexico,Mora,337,31,125,181,0,"3,573",138,166,"1,396",981,264,223,405,"3,269",628,353,353,144,307,305,55,"1,520","1,410",163,"1,393","1,201",266,16.8%,35.0%,22.1%,1.3%,"32,625","42,759","22,083","29,722",-,"44,644",1629
New Mexico,Otero,"7,041","1,055","2,741","2,882",363,"44,319","2,246","3,595","12,435","13,240","4,438","5,576","2,789","38,478","8,365","10,034","8,914","1,796","7,513","6,468","1,738","15,291","13,321","2,549","11,481","9,775","2,282",40.4%,21.7%,13.9%,5.0%,"29,383","15,045","25,317","30,349","40,330","59,405",1633
New Mexico,Quay,361,39,76,236,10,"6,025",215,858,"2,245","1,226",554,577,350,"4,952",927,"1,122",701,133,884,741,95,"1,976","1,755",276,"2,043","1,755",423,22.9%,11.5%,12.0%,12.7%,"29,268","30,328","31,597","24,567","40,536","60,313",1637
New Mexico,Rio Arriba,"3,185",641,"1,377","1,125",42,"26,780","1,442","2,153","8,984","6,933","2,324","2,832","2,112","23,185","4,944","4,393","3,925",647,"4,314","3,664",752,"10,541","9,428","1,984","7,532","6,168","1,561",39.8%,25.3%,14.5%,12.9%,"36,767","20,929","29,518","40,972","50,699","48,942",1639
New Mexico,Roosevelt,"3,350",215,827,"2,025",283,"10,871",829,"1,236","3,459","2,425",544,"1,603",775,"8,806","2,378","2,493","2,043",493,"1,888","1,587",293,"3,810","3,028",981,"2,680","2,148",611,41.3%,14.2%,12.4%,7.0%,"30,269","23,125","31,036","29,162","36,250","53,945",1642
New Mexico,Sandoval,"11,212","1,744","3,954","4,966",548,"100,051","2,724","6,423","25,314","24,134","10,467","18,181","12,808","90,904","30,989","17,829","16,291","4,066","18,555","16,528","5,991","37,862","34,793","11,642","25,805","23,292","9,290",30.4%,15.5%,7.5%,3.9%,"38,398","23,014","30,541","36,467","50,141","63,932",1646
New Mexico,San Juan,"10,690","2,194","4,057","4,193",246,"81,603","3,544","7,725","23,793","23,390","10,570","7,370","5,211","70,334","12,581","17,229","15,140","1,906","15,770","13,522","2,621","30,005","26,792","5,122","18,599","14,880","2,932",37.5%,20.0%,15.1%,5.3%,"34,919","25,518","30,095","33,862","49,278","59,121",1650
New Mexico,San Miguel,"2,742",173,833,"1,590",146,"19,719","1,193","2,104","4,957","5,274","1,845","2,198","2,148","16,422","4,346","3,096","2,561",754,"2,993","2,553",493,"7,705","6,501","1,509","5,925","4,807","1,590",43.3%,28.4%,17.3%,11.3%,"26,792","23,441","21,050","29,694","26,500","50,363",1652
New Mexico,Santa Fe,"11,030","2,051","3,876","4,389",714,"112,233","5,195","6,267","25,794","21,169","8,127","23,086","22,595","100,771","45,681","16,757","15,178","5,019","17,107","14,167","5,408","41,877","37,393","16,847","36,492","34,033","18,407",21.0%,15.5%,12.3%,5.6%,"37,083","23,970","27,874","35,905","43,640","62,677",1654
New Mexico,Sierra,518,66,221,134,97,"8,749",345,660,"2,599","2,286",929,"1,169",761,"7,744","1,930",688,523,127,"1,306","1,181",492,"2,754","2,372",431,"4,001","3,668",880,33.2%,27.8%,21.4%,8.2%,"23,397","14,803","18,769","22,838","45,139","51,545",1657
New Mexico,Socorro,"2,095",170,801,"1,071",53,"10,852",690,"1,159","4,127","1,962",526,"1,109","1,279","9,003","2,388","1,380","1,190",194,"2,112","1,702",717,"4,124","3,567",832,"3,236","2,544",645,47.9%,28.1%,19.1%,4.3%,"30,801","18,350","16,933","26,310","38,600","64,259",1659
New Mexico,Taos,"2,244",293,780,"1,121",50,"24,737",679,"1,522","6,206","6,151","2,193","4,656","3,330","22,536","7,986","3,177","2,707",491,"3,706","3,551",989,"9,211","8,636","3,119","8,643","7,642","3,387",34.0%,19.0%,15.2%,11.2%,"28,184",-,"19,725","27,295","33,558","55,086",1662
New Mexico,Torrance,"1,532",386,456,612,78,"10,643",365,"1,179","3,815","2,952",673,"1,059",600,"9,099","1,659","1,435","1,123",196,"1,840","1,610",383,"4,175","3,715",558,"3,193","2,651",522,25.2%,24.8%,13.8%,14.9%,"32,639","23,010","31,882","29,306","44,477","52,141",1664
New Mexico,Union,302,119,73,79,31,"2,970",141,337,"1,314",649,159,215,155,"2,492",370,643,542,54,542,454,106,920,751,103,865,745,107,21.6%,25.7%,7.5%,11.4%,"30,465",-,"35,586","28,207","48,889","51,250",1667
New Mexico,Valencia,"6,764","1,326","3,192","2,000",246,"51,847","2,881","5,070","16,762","12,431","4,401","5,819","4,483","43,896","10,302","9,471","8,103","1,572","8,923","7,287","1,940","19,844","17,270","3,710","13,609","11,236","3,080",22.6%,16.3%,13.3%,6.9%,"36,342","23,849","31,276","31,740","49,187","56,675",1670
New York,Albany,"44,608","3,099","13,238","18,090","10,181","205,082","5,509","10,166","44,733","31,823","23,533","45,382","43,936","189,407","89,318","40,613","38,180","21,370","35,103","32,749","17,308","77,495","71,714","31,739","51,871","46,764","18,901",27.4%,12.9%,8.3%,4.1%,"49,577","21,698","34,018","42,362","59,499","72,181",1673
