State,County,Total Households,Year Structure Built: 2014+,Year Structure Built: 2010 to 2013,Year Structure Built: 2000 to 2009,Year Structure Built: 1980 to 1999,Year Structure Built: 1960 to 1979,Year Structure Built: 1940 to 1959,Year Structure Built: 1939 or earlier,Total Vehicles,0 Vehicles Available,1 Vehicles Available,2 Vehicles Available,3+ Vehicles Available,"FID"
Arkansas,Randolph,7294,0.55,1.91,11.68,33.6,36.37,9.51,6.38,7294,4.59,32.36,38.76,24.29,353
Arkansas,St. Francis,9313,1.75,2.14,12.24,38.23,33.45,10.05,2.15,9313,13.62,36.35,25.6,24.44,357
Arkansas,Saline,45098,7.19,7.81,24.93,33.8,18.22,6.75,1.3,45098,4.4,26.23,45.46,23.91,360
Arkansas,Scott,4114,1.99,1.46,10.38,38.62,28.51,15.41,3.62,4114,8.36,27.71,34.42,29.51,364
Arkansas,Searcy,3235,1.79,2.47,10.32,32.61,32.15,11.1,9.55,3235,7.36,24.82,35.24,32.58,372
Arkansas,Sebastian,52026,3.72,3.15,11.09,29.42,29.34,17.1,6.18,52026,6.47,35.54,37.22,20.76,378
Arkansas,Sevier,5690,2.11,1.14,11.11,33.59,41.93,5.69,4.43,5690,4.92,25.57,35.24,34.27,390
Arkansas,Sharp,7315,1.87,1.13,13.51,33.82,42.32,4.01,3.34,7315,5.77,31.55,38.06,24.62,394
Arkansas,Stone,4866,3.9,2.67,19.61,42.85,24.76,4.67,1.54,4866,5.38,29.7,35.12,29.8,399
Arkansas,Union,15855,1.95,4.62,9.49,26.87,32.54,19.46,5.06,15855,4.04,37.91,34.26,23.79,403
Arkansas,Van Buren,7220,3.02,3.52,19.56,36.55,27.62,7.23,2.51,7220,6.22,32.91,35.97,24.9,407
Arkansas,Washington,89094,5.31,5.11,22.59,38.52,19.23,5.86,3.38,89094,5.44,31.86,40.75,21.95,417
Arkansas,White,28903,2.82,5.4,21.63,36.42,25.61,6.01,2.1,28903,6.5,30.41,36.28,26.8,428
Arkansas,Woodruff,3002,0.97,1.47,10.86,27.02,43.17,11.59,4.93,3002,9.69,31.85,40.87,17.59,435
Arkansas,Yell,7797,0.42,2.9,18.15,35.53,29.7,7.03,6.27,7797,4.54,27.92,34.28,33.26,438
California,Alameda,573174,2.18,1.61,7.11,21.41,29.24,19.52,18.93,573174,9.34,32.18,35.85,22.64,457
California,Alpine,397,0.0,3.02,9.32,35.52,42.57,8.31,1.26,397,3.27,27.96,32.24,36.52,461
California,Amador,14844,1.34,2.84,20.32,30.65,28.4,7.36,9.09,14844,6.8,23.9,38.28,31.02,472
California,Butte,83879,3.21,1.89,11.58,30.89,31.32,15.2,5.9,83879,6.63,29.77,37.02,26.57,486
California,Calaveras,16958,1.96,0.73,22.74,42.64,21.1,6.75,4.08,16958,1.59,21.14,40.44,36.83,489
California,Colusa,7329,3.36,1.57,13.58,26.28,26.05,18.24,10.93,7329,4.42,30.41,30.7,34.47,497
California,Contra Costa,398299,1.92,1.66,11.82,29.18,31.99,19.17,4.25,398299,5.27,27.04,38.46,29.23,503
California,Del Norte,9805,0.64,1.48,11.76,36.64,28.51,17.53,3.44,9805,8.64,33.38,35.94,22.04,511
California,El Dorado,73078,2.43,1.37,16.88,38.94,29.78,8.11,2.5,73078,4.27,22.93,39.55,33.26,522
California,Fresno,310097,3.13,2.85,14.41,29.06,28.36,16.63,5.55,310097,7.88,31.57,36.67,23.88,527
California,Glenn,10216,1.75,1.88,9.31,28.4,29.13,20.81,8.72,10216,4.14,28.94,35.88,31.05,537
California,Humboldt,54120,1.7,1.81,8.38,25.58,25.14,23.16,14.23,54120,7.21,34.07,37.16,21.56,551
California,Imperial,45768,2.03,2.21,23.17,33.16,24.5,12.31,2.63,45768,7.07,31.47,34.66,26.8,557
