State,County,WICS11,FID
Iowa,Guthrie,2,467
Iowa,Hamilton,4,469
Iowa,Hancock,4,470
Iowa,Hardin,6,475
Iowa,Harrison,5,478
Iowa,Henry,4,479
Iowa,Howard,2,481
Iowa,Humboldt,2,487
Iowa,Ida,2,491
Iowa,Iowa,3,495
Iowa,Jackson,5,499
Iowa,Jasper,10,505
Iowa,Jefferson,1,507
Iowa,Johnson,17,508
Iowa,Jones,7,516
Iowa,Keokuk,3,520
Iowa,Kossuth,6,523
Iowa,Lee,10,531
Iowa,Linn,32,535
Iowa,Louisa,3,539
Iowa,Lucas,2,542
Iowa,Lyon,5,546
Iowa,Madison,4,550
Iowa,Mahaska,5,554
Iowa,Marion,10,561
Iowa,Marshall,7,568
Iowa,Mills,4,569
Iowa,Mitchell,4,572
Iowa,Monona,4,576
Iowa,Monroe,2,580
Iowa,Montgomery,4,595
Iowa,Muscatine,9,600
Iowa,O'Brien,8,604
Iowa,Osceola,1,607
Iowa,Page,3,612
Iowa,Palo Alto,5,618
Iowa,Plymouth,6,622
Iowa,Pocahontas,3,624
Iowa,Polk,75,629
Iowa,Pottawattamie,17,637
Iowa,Poweshiek,6,640
Iowa,Ringgold,2,642
Iowa,Sac,5,647
Iowa,Scott,27,657
Iowa,Shelby,4,660
Iowa,Sioux,8,663
Iowa,Story,13,668
Iowa,Tama,4,671
Iowa,Taylor,2,674
Iowa,Union,4,675
Iowa,Van Buren,6,678
Iowa,Wapello,9,681
Iowa,Warren,9,685
Iowa,Washington,5,687
Iowa,Wayne,3,691
Iowa,Webster,8,694
Iowa,Winnebago,5,696
Iowa,Winneshiek,6,698
Iowa,Woodbury,21,702
Iowa,Worth,2,703
Iowa,Wright,5,705
Kansas,Allen,3,709
Kansas,Anderson,1,712
Kansas,Atchison,2,715
Kansas,Barber,2,717
Kansas,Barton,6,719
Kansas,Bourbon,3,722
Kansas,Brown,3,723
Kansas,Butler,6,726
Kansas,Chase,1,729
Kansas,Chautauqua,2,730
Kansas,Cherokee,4,732
Kansas,Cheyenne,1,736
Kansas,Clark,1,738
Kansas,Clay,3,739
Kansas,Cloud,3,740
Kansas,Coffey,1,745
Kansas,Comanche,1,748
Kansas,Cowley,6,752
Kansas,Crawford,5,756
Kansas,Decatur,1,759
Kansas,Dickinson,3,762
Kansas,Doniphan,3,765
Kansas,Douglas,12,767
Kansas,Edwards,1,770
Kansas,Elk,2,773
Kansas,Ellis,4,774
Kansas,Ellsworth,2,776
Kansas,Finney,3,778
Kansas,Ford,3,784
Kansas,Franklin,3,786
Kansas,Geary,3,788
Kansas,Gove,2,790
Kansas,Graham,1,791
Kansas,Grant,2,794
Kansas,Gray,2,798
Kansas,Greeley,1,801
Kansas,Greenwood,2,803
Kansas,Hamilton,1,805
Kansas,Harper,3,807
Kansas,Harvey,5,812
Kansas,Haskell,2,815
Kansas,Hodgeman,1,818
Kansas,Jackson,3,819
Kansas,Jefferson,5,821
Kansas,Jewell,3,822
Kansas,Johnson,34,824
Kansas,Kearny,1,826
Kansas,Kingman,1,827
Kansas,Kiowa,1,829
Kansas,Labette,6,831
Kansas,Lane,2,833
