State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10,FID
Idaho,Custer,2010,110,110,0,0,0,0,0,35,17,8,0,0,0,110,0,484
Idaho,Franklin,2010,33,16,14,2,1,0,0,158,99,53,0,0,0,33,0,498
Idaho,Idaho,2010,343,339,4,0,0,0,0,55,24,10,0,0,0,343,0,528
Idaho,Kootenai,2010,180,175,5,0,0,0,0,84,46,37,0,2,178,0,0,552
Idaho,Latah,2010,277,271,6,0,0,0,0,66,30,10,0,0,0,277,0,559
Idaho,Lemhi,2010,343,234,95,13,1,0,0,153,81,33,0,0,0,343,0,566
Idaho,Nez Perce,2010,357,338,19,0,0,0,0,68,38,17,0,0,0,357,0,589
Idaho,Power,2010,4,4,0,0,0,0,0,24,24,20,0,0,0,0,4,613
Idaho,Shoshone,2010,365,201,141,22,1,0,0,155,94,44,0,0,0,359,6,621
Idaho,Twin Falls,2010,351,341,9,1,0,0,0,131,39,24,0,0,0,351,0,634
Illinois,Adams,2010,353,310,42,1,0,0,0,122,54,37,0,0,322,31,0,650
Illinois,Champaign,2010,352,308,44,0,0,0,0,87,54,34,0,0,285,67,0,12
Illinois,Clark,2010,210,176,34,0,0,0,0,90,64,40,0,0,210,0,0,19
Illinois,Cook,2010,365,102,239,24,0,0,0,140,90,58,0,51,96,217,1,36
Illinois,DuPage,2010,365,212,150,3,0,0,0,110,72,46,0,0,96,269,0,64
Illinois,Effingham,2010,195,157,32,6,0,0,0,105,74,44,0,0,195,0,0,76
Illinois,Hamilton,2010,249,159,79,11,0,0,0,119,87,46,0,0,217,32,0,106
Illinois,Jackson,2010,44,44,0,0,0,0,0,46,30,20,0,0,0,0,44,129
Illinois,Jersey,2010,262,207,51,4,0,0,0,108,67,38,0,0,224,38,0,142
Illinois,Jo Daviess,2010,357,327,28,2,0,0,0,105,49,37,0,0,357,0,0,145
Illinois,Kane,2010,365,316,46,3,0,0,0,122,59,36,0,0,334,31,0,156
Illinois,LaSalle,175
Illinois,Lake,2010,365,299,55,10,1,0,0,156,71,37,0,0,347,18,0,170
Illinois,Macon,2010,365,215,150,0,0,0,0,99,71,46,0,0,201,164,0,194
Illinois,Macoupin,2010,360,321,35,4,0,0,0,119,51,37,0,0,358,0,2,196
Illinois,Madison,2010,365,93,246,24,2,0,0,151,91,60,0,0,96,268,1,199
Illinois,McHenry,2010,362,269,92,1,0,0,0,115,64,41,0,0,224,138,0,192
Illinois,McLean,2010,365,293,70,2,0,0,0,112,63,40,0,0,312,53,0,193
Illinois,Peoria,2010,365,181,181,3,0,0,0,105,72,51,0,0,138,227,0,233
Illinois,Randolph,2010,353,316,37,0,0,0,0,97,51,36,0,0,320,33,0,255
Illinois,Rock Island,2010,363,341,22,0,0,0,0,77,45,32,0,0,337,26,0,265
Illinois,St. Clair,269
Illinois,Sangamon,2010,365,291,73,1,0,0,0,105,61,37,41,0,253,71,0,274
Illinois,Will,2010,351,304,45,2,0,0,0,115,58,38,0,0,317,33,1,320
Illinois,Winnebago,2010,365,322,41,2,0,0,0,117,53,36,4,0,310,51,0,325
Indiana,Allen,2010,365,134,223,8,0,0,0,121,82,56,10,0,45,310,0,335
Indiana,Boone,2010,183,125,51,7,0,0,0,122,90,45,0,0,183,0,0,185
Indiana,Carroll,2010,182,139,39,4,0,0,0,119,74,45,0,0,182,0,0,195
Indiana,Clark,2010,354,124,214,16,0,0,0,147,84,58,0,0,124,230,0,215
Indiana,Delaware,2010,234,155,77,2,0,0,0,108,73,45,0,0,153,81,0,252
Indiana,Dubois,2010,119,48,71,0,0,0,0,91,75,53,0,0,0,118,1,254
Indiana,Elkhart,2010,268,180,86,2,0,0,0,110,73,44,0,0,157,111,0,260
Indiana,Floyd,2010,365,174,180,10,1,0,0,174,77,51,0,0,135,230,0,267
Indiana,Gibson,2010,119,62,57,0,0,0,0,84,67,49,0,0,0,119,0,286
Indiana,Greene,2010,166,104,56,6,0,0,0,119,84,47,0,0,166,0,0,309
