State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Alabama,Limestone,48.54,51.46,7.03,17.49,7.36,11.91,12.69,14.62,13.45,9.4,6.05,79.74,12.66,0.95,1.5,0.05,2.17,2.93,6.07,76.6,13.84,19.22,17.06,17.45,32.39,41.83,2.2,16.0,91.38,8.62,197
Alabama,Lowndes,47.4,52.6,8.11,15.1,8.76,11.12,10.24,12.89,15.18,10.43,8.16,24.73,74.98,0.12,0.0,0.0,0.0,0.17,0.38,24.59,32.69,26.15,15.13,8.98,17.06,33.27,3.62,21.31,91.69,8.31,205
Alabama,Macon,45.0,55.0,5.61,14.74,15.99,10.18,8.69,11.37,13.64,11.86,7.91,15.87,82.63,0.08,0.2,0.0,0.07,1.15,0.44,15.72,25.97,23.82,13.69,9.88,15.88,35.07,4.52,20.28,91.03,8.97,210
Alabama,Madison,48.48,51.52,7.09,16.46,9.64,12.26,12.08,13.42,14.08,8.77,6.2,67.41,24.44,0.57,2.65,0.08,1.57,3.26,5.02,64.52,13.3,17.07,14.87,13.13,40.36,46.4,2.07,13.02,91.93,8.07,217
Alabama,Marengo,47.0,53.0,8.1,16.43,8.14,10.32,10.88,12.53,14.47,11.09,8.03,46.73,51.66,0.07,0.05,0.0,0.23,1.26,2.56,44.95,29.73,16.14,18.58,11.84,23.62,32.98,2.73,20.63,91.49,8.51,220
Alabama,Marion,49.15,50.85,5.78,16.8,7.14,10.48,11.1,14.39,13.87,11.45,9.0,92.66,3.34,0.46,0.06,0.0,1.64,1.83,2.61,91.69,22.19,26.99,22.7,12.99,14.92,36.61,2.17,18.2,89.73,10.27,224
Alabama,Marshall,49.45,50.55,8.28,18.03,8.21,11.13,11.79,12.88,12.93,10.06,6.69,90.28,2.88,0.39,0.65,0.04,2.02,3.76,14.27,80.4,18.59,23.95,20.06,13.91,23.27,38.59,1.43,16.92,87.87,12.13,231
Alabama,Mobile,47.32,52.68,7.85,17.23,9.1,12.36,11.85,12.2,13.31,9.77,6.33,58.02,36.06,0.66,1.89,0.01,1.13,2.23,2.91,56.52,19.67,22.55,19.24,13.06,24.69,39.55,2.31,16.95,88.79,11.21,240
Alabama,Monroe,48.03,51.97,6.17,17.48,8.32,8.68,11.66,12.96,15.08,11.5,8.15,54.32,42.48,1.38,0.6,0.06,0.11,1.05,0.36,54.07,28.35,20.98,18.85,13.54,18.23,29.79,4.69,22.22,87.77,12.23,250
Alabama,Montgomery,46.3,53.7,8.36,17.1,10.26,12.34,12.2,12.04,12.68,8.99,6.03,34.29,58.32,0.21,3.09,0.0,1.31,2.77,3.46,32.82,19.44,22.4,18.17,12.15,26.37,40.8,2.78,15.94,89.92,10.08,256
Alabama,Morgan,48.97,51.03,7.12,17.24,7.95,11.11,12.02,13.48,13.83,10.22,7.03,78.78,12.4,0.43,0.56,0.17,4.19,3.47,8.51,75.46,17.11,20.98,19.29,15.06,27.46,40.72,1.94,15.72,89.85,10.15,262
Alabama,Perry,47.79,52.21,6.18,22.16,10.3,6.11,11.63,11.83,13.08,12.47,6.24,29.18,69.54,0.0,0.09,0.0,1.15,0.04,1.99,29.05,45.36,21.28,13.67,3.69,8.67,23.39,2.79,26.76,90.08,9.92,264
Alabama,Pickens,51.68,48.32,7.52,15.11,9.1,9.13,11.08,12.96,14.83,11.55,8.73,56.39,41.85,0.01,0.0,0.0,0.52,1.24,1.4,55.64,26.74,25.26,16.81,11.75,18.66,35.67,3.01,18.42,90.62,9.38,273
Alabama,Pike,48.06,51.94,6.86,14.55,21.83,10.61,9.64,10.44,10.94,8.78,6.33,57.58,37.48,0.37,2.17,0.01,0.12,2.27,2.32,55.64,24.65,22.27,15.32,9.13,23.66,39.2,2.0,22.28,91.06,8.94,279
Alabama,Randolph,48.48,51.52,6.89,15.55,8.45,9.79,11.09,13.23,14.79,11.9,8.3,77.44,18.83,0.44,0.22,0.0,0.78,2.29,2.93,75.24,20.7,23.05,21.44,9.82,23.87,35.32,1.63,20.4,90.7,9.3,284
Alabama,Russell,46.81,53.19,8.93,17.26,8.37,12.31,12.28,13.24,13.16,8.93,5.52,47.19,45.41,0.15,1.2,0.05,2.69,3.31,5.65,44.47,26.05,21.84,22.57,11.25,18.11,38.36,2.21,18.8,89.16,10.84,288
Alabama,St. Clair,48.68,51.32,7.32,16.85,7.34,11.71,12.77,13.57,13.53,10.34,6.56,88.07,8.36,0.56,0.73,0.02,0.83,1.42,2.48,86.65,12.74,18.11,20.9,15.58,32.42,42.48,2.16,14.28,91.75,8.25,292
Alabama,Shelby,48.15,51.85,6.99,18.06,8.12,10.76,13.75,14.05,12.97,9.57,5.73,79.95,11.96,0.37,1.97,0.02,2.7,3.03,5.69,77.58,8.07,13.38,16.27,14.7,46.86,46.19,1.7,11.77,93.88,6.12,298
Alabama,Sumter,45.65,54.35,6.12,17.15,17.91,7.54,9.47,10.37,13.85,10.08,7.5,24.98,71.69,0.04,1.98,0.0,0.31,1.0,1.17,24.5,38.41,20.14,13.68,9.71,12.58,32.31,2.94,23.89,88.56,11.44,303
Alabama,Talladega,47.28,52.72,6.64,16.33,8.47,11.18,11.79,13.4,14.23,11.01,6.95,64.02,31.74,0.36,0.55,0.2,0.92,2.21,2.22,62.96,21.82,24.12,18.3,13.84,21.25,38.7,2.55,17.83,90.83,9.17,306
Alabama,Tallapoosa,48.16,51.84,7.23,14.98,7.64,10.29,10.26,13.25,15.57,12.91,7.88,70.08,27.4,0.12,0.42,0.0,0.75,1.23,2.45,68.99,21.37,21.01,23.9,14.92,18.49,35.47,4.08,17.46,91.51,8.49,308
Alabama,Tuscaloosa,48.05,51.95,7.35,16.63,15.58,12.78,11.88,11.25,11.46,8.13,4.94,63.43,32.12,0.22,1.65,0.02,0.86,1.7,3.84,61.12,17.39,20.26,16.78,13.45,28.02,43.36,2.61,16.98,93.02,6.98,313
Alabama,Walker,49.02,50.98,7.49,15.8,8.24,10.64,11.3,13.16,14.18,11.56,7.63,89.64,5.91,0.3,0.38,0.0,1.03,2.73,2.63,88.35,20.11,24.29,18.62,16.25,20.38,36.84,2.84,17.84,88.6,11.4,317
Alabama,Washington,49.44,50.56,5.74,16.73,11.71,7.52,9.44,15.08,14.19,12.4,7.2,65.88,24.3,7.54,0.19,0.0,0.15,1.94,0.87,65.09,20.25,25.45,14.67,8.44,31.09,32.63,2.38,22.92,90.47,9.53,319
Alabama,Wilcox,45.26,54.74,7.06,18.98,8.53,10.21,10.64,11.6,13.62,11.56,7.81,26.99,70.43,0.12,0.04,0.0,0.0,2.43,0.45,26.58,32.56,27.85,13.38,10.32,15.84,29.24,4.35,21.0,89.94,10.06,326
