State,County,Males,Females,Under 6 Years,6 to 18 years,19 to 25 years,26 to 34 years,35 to 44 years,45 to 54 years,55 to 64 years,65 to 74 years,75 years and older,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino (of any race),White alone (not hispanic or Latino),Under $25K,$25K to $49K,$50K to $74K,$75K to $99K,$100K and over,Employed,Unemployed,Not in labor force,Insured,Uninsured,CensusObjectID
Nebraska,Butler,3904,3933,631,1330,585,714,907,922,1199,873,676,7551,0,53,15,0,58,160,295,7368,954,1457,1331,1471,2615,3585,63,679,7470,367,1325
Nebraska,Cass,12951,12700,1982,4625,1651,2407,3208,3502,3898,2752,1626,24386,53,99,98,63,281,671,872,23888,1716,4261,5020,4141,10506,12060,344,2262,24092,1559,1326
Nebraska,Cedar,4243,4096,666,1627,596,677,845,917,1302,885,824,8104,4,64,4,0,85,78,170,8033,711,1531,1926,1656,2515,3854,67,416,7851,488,1329
Nebraska,Chase,1751,1890,174,708,208,308,479,400,533,401,430,3397,3,0,27,0,1,213,522,3033,545,659,909,675,848,1576,66,286,3333,308,1330
Nebraska,Cherry,2901,2855,453,973,424,581,667,599,884,601,574,5066,8,221,78,31,15,337,111,5017,694,1602,1262,793,1350,2817,3,335,5320,436,1333
Nebraska,Cheyenne,4657,4676,741,1528,655,1021,1110,1133,1374,982,789,8731,60,55,74,2,48,363,689,8281,1332,1796,2159,1805,2229,4361,93,839,8682,651,1334
Nebraska,Clay,3105,2981,483,1053,462,595,648,730,923,726,466,5779,19,33,1,0,89,165,554,5391,742,1077,1377,1354,1536,2795,91,472,5618,468,1336
Nebraska,Colfax,5934,4563,931,2332,823,1083,1155,1520,1366,690,597,8313,402,209,78,3,574,918,4749,5098,830,1921,3124,1698,2913,4766,91,1090,9453,1044,1338
Nebraska,Cuming,4416,4321,743,1464,675,915,897,968,1273,901,901,8048,21,35,15,13,271,334,891,7686,781,2089,2032,1465,2370,4082,112,534,8109,628,1340
Nebraska,Custer,5376,5304,986,1660,795,1037,1172,1182,1557,1229,1062,10251,8,32,78,0,104,207,355,10077,1468,2775,2374,1315,2743,4771,89,883,9893,787,1342
Nebraska,Dakota,9947,9967,2016,4065,1951,2498,2196,2319,2237,1619,1013,12384,1206,419,676,0,3468,1761,7835,9228,2403,3458,4382,3544,6103,9612,286,1303,17853,2061,1344
Nebraska,Dawes,4273,4339,664,1318,1549,865,830,749,1096,812,729,7619,246,250,51,0,0,446,481,7336,1021,2028,1978,1232,1434,3903,73,1113,7787,825,1347
