State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Georgia,Lincoln,159,43,60,30,40,79,99,857
Georgia,Long,159,13,56,58,151,35,27,860
Georgia,Lowndes,159,68,72,51,75,58,37,863
Georgia,Lumpkin,159,49,34,29,89,34,60,865
Georgia,McDuffie,159,155,132,113,25,125,130,868
Georgia,McIntosh,159,127,67,64,57,72,14,871
Georgia,Macon,159,147,153,122,130,149,105,874
Georgia,Madison,159,52,44,47,93,50,88,875
Georgia,Marion,159,95,76,87,62,85,144,877
Georgia,Meriwether,159,154,136,146,126,127,124,879
Georgia,Miller,159,158,79,62,135,78,79,881
Georgia,Mitchell,159,148,134,130,79,143,89,883
Georgia,Monroe,159,47,66,40,24,39,118,885
Georgia,Montgomery,159,59,58,63,111,115,22,887
Georgia,Morgan,159,54,16,22,26,23,39,890
Georgia,Murray,159,63,78,90,141,122,111,892
Georgia,Muscogee,159,122,80,74,13,71,65,896
Georgia,Newton,159,58,54,53,71,52,157,899
Georgia,Oconee,159,2,1,3,2,1,30,901
Georgia,Oglethorpe,159,14,43,77,121,59,151,905
Georgia,Paulding,159,9,11,17,92,8,5,908
Georgia,Peach,159,105,71,95,95,91,53,910
Georgia,Pickens,159,57,29,23,31,24,18,912
Georgia,Pierce,159,89,61,103,142,56,11,915
Georgia,Pike,159,50,36,50,87,13,133,7
Georgia,Polk,159,120,68,94,134,80,116,8
Georgia,Pulaski,159,98,103,133,64,92,115,11
Georgia,Putnam,159,20,47,57,42,77,68,13
Georgia,Quitman,159,74,154,80,114,158,34,16
Georgia,Rabun,159,29,37,59,94,54,8,18
Georgia,Randolph,159,156,156,144,119,135,1,23
Georgia,Richmond,159,141,102,96,20,114,76,24
Georgia,Rockdale,159,42,48,36,29,40,129,28
Georgia,Schley,159,28,69,27,37,43,92,31
Georgia,Screven,159,86,105,108,124,132,91,34
Georgia,Seminole,159,125,130,106,146,104,55,38
Georgia,Spalding,159,123,127,107,60,100,141,41
Georgia,Stephens,159,128,53,66,73,66,50,45
Georgia,Stewart,159,138,149,134,63,152,98,48
Georgia,Sumter,159,139,140,88,59,129,103,52
Georgia,Talbot,159,104,125,60,55,118,155,57
Georgia,Taliaferro,159,74,142,65,136,153,70,60
Georgia,Tattnall,159,53,107,140,145,116,31,63
