State,County,# of Ranked Counties,Length of Life Rank,Quality of Life Rank,Health Behaviors Rank,Clinical Care Rank,Social & Economic Factors Rank,Physical Environment Rank,FID
Ohio,Butler,88,60,32,14,26,37,87,2286
Ohio,Carroll,88,49,60,55,66,50,44,2289
Ohio,Champaign,88,44,26,41,75,26,29,2291
Ohio,Clark,88,83,74,70,56,65,16,2300
Ohio,Clermont,88,37,19,34,27,23,61,2306
Ohio,Clinton,88,74,45,40,45,59,50,2310
Ohio,Columbiana,88,50,53,66,59,48,68,2315
Ohio,Coshocton,88,54,63,80,74,67,6,2317
Ohio,Crawford,88,70,64,60,62,53,30,2323
Ohio,Cuyahoga,88,56,76,31,10,72,88,2332
Ohio,Darke,88,55,12,48,48,27,38,2345
Ohio,Defiance,88,29,16,50,29,24,70,2350
Ohio,Delaware,88,1,1,1,1,1,24,2352
Ohio,Erie,88,52,42,28,24,46,28,2357
Ohio,Fairfield,88,12,18,18,21,16,57,2365
Ohio,Fayette,88,85,72,65,60,62,62,2368
Ohio,Franklin,88,42,33,9,8,40,41,2375
Ohio,Fulton,88,21,24,16,6,14,81,2378
Ohio,Gallia,88,86,84,77,71,77,73,2383
Ohio,Geauga,88,4,5,3,19,8,82,2390
Ohio,Greene,88,11,11,5,15,15,7,2393
Ohio,Guernsey,88,71,78,73,70,69,79,2399
Ohio,Hamilton,88,58,49,26,2,52,75,2411
Ohio,Hancock,88,31,20,11,18,10,64,2427
Ohio,Hardin,88,26,50,51,82,42,14,2432
Ohio,Harrison,88,34,25,63,85,56,52,2440
Ohio,Henry,88,30,14,20,5,18,71,2451
Ohio,Highland,88,66,62,71,81,73,67,2457
Ohio,Hocking,88,63,48,69,42,60,22,2461
Ohio,Holmes,88,3,35,15,88,66,1,2464
Ohio,Huron,88,53,44,64,54,55,32,2468
Ohio,Jackson,88,84,79,82,65,83,37,2472
Ohio,Jefferson,88,77,61,72,68,70,84,2476
Ohio,Knox,88,18,39,24,73,25,13,2479
Ohio,Lake,88,16,9,12,25,21,2,2493
Ohio,Lawrence,88,82,81,74,72,74,4,2499
Ohio,Licking,88,15,21,13,28,19,76,2504
Ohio,Logan,88,62,31,61,44,33,27,2510
Ohio,Lorain,88,35,40,25,40,49,3,2516
Ohio,Lucas,88,69,77,57,32,81,51,2520
Ohio,Madison,88,40,36,30,38,30,77,2529
Ohio,Mahoning,88,61,80,39,20,79,69,2534
Ohio,Marion,88,73,70,79,57,58,26,2541
Ohio,Medina,88,5,4,4,4,6,10,2545
Ohio,Meigs,88,81,87,85,69,84,46,2549
Ohio,Mercer,88,9,6,22,49,4,25,2552
Ohio,Miami,88,22,10,21,41,17,39,2558
Ohio,Monroe,88,28,59,59,84,78,54,2565
Ohio,Montgomery,88,80,66,44,22,63,43,2573
Ohio,Morgan,88,57,69,76,79,80,18,2000
Ohio,Morrow,88,32,27,54,86,36,20,2006
Ohio,Muskingum,88,65,65,56,31,57,78,2010
Ohio,Noble,88,17,41,81,80,75,8,2012
Ohio,Ottawa,88,48,30,29,30,38,47,2019
Ohio,Paulding,88,24,38,67,61,28,53,2024
Ohio,Perry,88,38,75,84,67,71,55,2027
Ohio,Pickaway,88,59,46,33,37,41,45,2031
Ohio,Pike,88,87,86,86,23,86,56,2034
Ohio,Portage,88,14,34,7,34,29,12,2038
Ohio,Preble,88,68,52,37,63,31,5,2039
Ohio,Putnam,88,2,7,17,11,3,11,2040
Ohio,Richland,88,67,56,62,53,54,72,2042
Ohio,Ross,88,64,82,68,7,61,42,2045
Ohio,Sandusky,88,51,37,38,13,35,34,2047
Ohio,Scioto,88,88,83,83,76,87,60,2048
Ohio,Seneca,88,36,54,53,39,32,15,2049
Ohio,Shelby,88,33,22,43,46,20,23,2052
Ohio,Stark,88,43,57,46,16,45,80,2054
Ohio,Summit,88,47,47,27,9,47,74,2057
Ohio,Trumbull,88,76,68,75,55,82,66,2061
Ohio,Tuscarawas,88,23,28,49,64,39,48,2065
Ohio,Union,88,7,3,6,12,2,49,2067
Ohio,Van Wert,88,19,43,42,17,12,31,2071
Ohio,Vinton,88,78,85,88,58,85,83,2075
Ohio,Warren,88,10,2,2,3,5,59,2076
Ohio,Washington,88,46,51,52,50,44,9,2080
Ohio,Wayne,88,25,23,8,52,22,33,2084
Ohio,Williams,88,27,15,58,35,13,21,2087
Ohio,Wood,88,6,13,10,14,9,85,2091
Ohio,Wyandot,88,41,29,23,36,11,19,2093
Oklahoma,Adair,77,68,76,76,75,74,47,2095
Oklahoma,Alfalfa,77,8,2,42,42,16,13,2099
Oklahoma,Atoka,77,27,66,68,73,65,44,2102
Oklahoma,Beaver,77,23,13,6,68,11,3,2104
Oklahoma,Beckham,77,59,35,21,12,46,8,2106
Oklahoma,Blaine,77,74,28,37,16,34,38,2110
Oklahoma,Bryan,77,47,40,51,60,28,50,2112
Oklahoma,Caddo,77,58,50,67,57,60,34,2118
Oklahoma,Canadian,77,2,3,4,4,6,53,2123
Oklahoma,Carter,77,30,47,40,29,39,52,2126
Oklahoma,Cherokee,77,39,69,59,45,51,67,2129
Oklahoma,Choctaw,77,63,77,75,67,75,69,2133
Oklahoma,Cimarron,77,41,5,9,72,19,9,2135
Oklahoma,Cleveland,77,4,12,2,3,2,49,2140
Oklahoma,Coal,77,76,67,62,77,63,32,2144
Oklahoma,Comanche,77,20,32,35,5,44,15,2145
Oklahoma,Cotton,77,49,49,65,26,57,41,2146
Oklahoma,Craig,77,55,55,47,35,36,48,2148
Oklahoma,Creek,77,40,31,30,33,37,46,2151
Oklahoma,Custer,77,28,24,34,21,15,36,2153
Oklahoma,Delaware,77,25,63,49,51,53,24,2154
Oklahoma,Dewey,77,53,20,20,36,1,4,2158
Oklahoma,Ellis,77,38,14,48,30,12,2,2165
Oklahoma,Garfield,77,17,27,22,19,25,14,2167
Oklahoma,Garvin,77,67,62,52,44,45,64,2176
Oklahoma,Grady,77,21,22,13,18,20,58,2184
Oklahoma,Grant,77,65,1,11,15,4,16,2187
Oklahoma,Greer,77,6,54,32,52,58,17,2189
Oklahoma,Harmon,77,75,73,1,76,55,5,2191
Oklahoma,Harper,77,41,23,3,70,17,1,2193
Oklahoma,Haskell,77,48,30,41,65,64,62,2195
Oklahoma,Hughes,77,60,44,73,61,70,39,2197
Oklahoma,Jackson,77,24,48,26,23,33,21,2202
Oklahoma,Jefferson,77,34,75,54,69,59,31,2206
Oklahoma,Johnston,77,73,71,60,40,61,29,2211
Oklahoma,Kay,77,52,46,50,25,54,26,2215
Oklahoma,Kingfisher,77,9,6,19,17,5,30,2219
Oklahoma,Kiowa,77,45,45,43,47,52,19,2222
Oklahoma,Latimer,77,35,43,55,49,71,61,2226
Oklahoma,Le Flore,77,62,59,72,63,68,77,2230
Oklahoma,Lincoln,77,29,39,38,32,38,54,2234
Oklahoma,Logan,77,3,11,15,22,13,23,2236
Oklahoma,Love,77,56,60,14,58,29,12,2238
Oklahoma,McClain,77,15,9,12,11,3,59,2245
Oklahoma,McCurtain,77,70,70,74,66,76,70,2252
Oklahoma,McIntosh,77,51,68,66,62,73,57,2258
Oklahoma,Major,77,57,19,36,28,7,28,2260
Oklahoma,Marshall,77,26,33,46,71,50,35,2265
Oklahoma,Mayes,77,50,65,57,31,42,63,2270
Oklahoma,Murray,77,22,29,39,54,43,42,2276
Oklahoma,Muskogee,77,61,57,58,41,69,71,2281
Oklahoma,Noble,77,46,10,24,10,14,25,2287
Oklahoma,Nowata,77,16,37,64,43,32,56,2290
Oklahoma,Okfuskee,77,77,64,77,53,77,51,2297
Oklahoma,Oklahoma,77,18,34,8,2,31,27,2303
Oklahoma,Okmulgee,77,69,56,61,48,62,65,2311
Oklahoma,Osage,77,19,21,33,39,41,76,2318
Oklahoma,Ottawa,77,66,61,70,34,48,45,2325
Oklahoma,Pawnee,77,36,51,56,27,47,66,2329
Oklahoma,Payne,77,5,16,10,8,18,75,2340
Oklahoma,Pittsburg,77,72,41,69,24,49,33,2344
Oklahoma,Pontotoc,77,37,42,28,14,24,18,2351
Oklahoma,Pottawatomie,77,31,36,44,9,35,60,2356
Oklahoma,Pushmataha,77,33,74,71,74,72,40,2362
Oklahoma,Roger Mills,77,41,38,18,46,22,10,2369
Oklahoma,Rogers,77,1,7,17,13,9,73,2374
Oklahoma,Seminole,77,71,58,45,56,67,55,2384
Oklahoma,Sequoyah,77,54,72,63,59,66,72,2391
Oklahoma,Stephens,77,44,52,29,37,40,37,2396
Oklahoma,Texas,77,10,15,5,64,30,7,2003
Oklahoma,Tillman,77,13,53,53,50,56,20,2005
Oklahoma,Tulsa,77,12,26,7,1,27,68,2008
Oklahoma,Wagoner,77,7,18,25,38,10,74,2014
Oklahoma,Washington,77,14,17,16,6,21,43,2018
Oklahoma,Washita,77,64,8,23,55,26,22,2023
Oklahoma,Woods,77,32,4,31,7,8,6,2029
Oklahoma,Woodward,77,11,25,27,20,23,11,2035
Oregon,Baker,34,28,24,23,6,19,10,2044
Oregon,Benton,34,1,1,1,1,1,25,2053
Oregon,Clackamas,34,5,3,4,3,3,31,2058
Oregon,Clatsop,34,15,7,11,24,8,7,2064
Oregon,Columbia,34,10,12,21,17,13,24,2070
Oregon,Coos,34,25,25,31,29,26,20,2083
Oregon,Crook,34,19,27,27,20,21,22,2092
Oregon,Curry,34,23,10,19,22,27,14,2098
Oregon,Deschutes,34,4,5,3,2,4,13,2109
Oregon,Douglas,34,32,28,28,13,20,23,2115
Oregon,Gilliam,34,NR,NR,NR,NR,NR,NR,2121
Oregon,Grant,34,31,22,12,12,34,5,2130
Oregon,Harney,34,30,19,22,26,22,6,2134
Oregon,Hood River,34,3,6,8,4,6,1,2138
Oregon,Jackson,34,14,17,16,11,18,30,2139
Oregon,Jefferson,34,26,33,34,34,31,9,2143
Oregon,Josephine,34,33,29,29,16,29,28,2152
Oregon,Klamath,34,34,31,30,28,33,19,2155
Oregon,Lake,34,29,34,32,32,30,2,2159
Oregon,Lane,34,13,20,7,14,12,26,2170
Oregon,Lincoln,34,27,26,18,33,23,15,2174
Oregon,Linn,34,16,18,14,8,14,21,2181
Oregon,Malheur,34,20,32,33,25,32,33,2185
Oregon,Marion,34,8,15,13,23,16,32,2200
Oregon,Morrow,34,12,30,25,31,24,17,2209
Oregon,Multnomah,34,9,9,5,5,9,3,2218
Oregon,Polk,34,7,8,9,10,7,29,2223
Oregon,Sherman,34,17,14,24,15,10,11,2232
Oregon,Tillamook,34,11,13,17,27,11,16,2242
Oregon,Umatilla,34,21,21,26,30,25,34,2251
Oregon,Union,34,22,23,20,19,15,4,2257
Oregon,Wallowa,34,17,4,6,18,28,12,2263
Oregon,Wasco,34,24,16,15,9,17,18,2267
Oregon,Washington,34,2,2,2,7,2,8,2272
Oregon,Wheeler,34,NR,NR,NR,NR,NR,NR,2277
Oregon,Yamhill,34,6,11,10,21,5,27,2284
Pennsylvania,Adams,67,10,19,11,27,7,17,2292
Pennsylvania,Allegheny,67,39,12,10,14,15,23,2302
Pennsylvania,Armstrong,67,61,40,67,39,34,53,2309
Pennsylvania,Beaver,67,55,23,28,22,21,41,2321
Pennsylvania,Bedford,67,51,21,30,51,24,26,2324
Pennsylvania,Berks,67,15,30,21,31,38,63,2326
Pennsylvania,Blair,67,47,28,51,47,32,7,2328
Pennsylvania,Bradford,67,34,18,60,35,37,19,2333
Pennsylvania,Bucks,67,11,3,3,5,6,67,2336
Pennsylvania,Butler,67,13,4,8,7,5,56,2338
Pennsylvania,Cambria,67,62,53,36,50,55,33,2341
Pennsylvania,Cameron,67,33,59,20,43,60,15,2343
Pennsylvania,Carbon,67,57,50,38,48,49,58,2349
Pennsylvania,Centre,67,1,6,5,9,3,20,2354
Pennsylvania,Chester,67,3,1,1,10,1,57,2360
Pennsylvania,Clarion,67,27,34,39,61,27,10,2366
Pennsylvania,Clearfield,67,50,64,66,26,58,35,2372
Pennsylvania,Clinton,67,20,31,34,41,54,21,2379
Pennsylvania,Columbia,67,23,51,41,21,26,11,2385
Pennsylvania,Crawford,67,49,62,62,33,39,24,2389
Pennsylvania,Cumberland,67,8,7,4,4,4,43,2397
Pennsylvania,Dauphin,67,36,38,23,20,23,46,2403
Pennsylvania,Delaware,67,30,20,6,15,20,59,2414
Pennsylvania,Elk,67,29,10,26,8,18,13,2420
Pennsylvania,Erie,67,42,45,40,13,45,18,2425
Pennsylvania,Fayette,67,66,65,65,54,65,48,2431
Pennsylvania,Forest,67,6,66,50,57,66,1,2436
Pennsylvania,Franklin,67,16,22,19,53,8,29,2439
Pennsylvania,Fulton,67,17,52,29,67,44,30,2446
Pennsylvania,Greene,67,60,63,64,66,61,8,2447
Pennsylvania,Huntingdon,67,35,35,31,38,56,27,2454
Pennsylvania,Indiana,67,37,44,32,42,47,54,2459
Pennsylvania,Jefferson,67,28,56,53,37,57,32,2462
Pennsylvania,Juniata,67,18,41,43,32,25,31,2466
Pennsylvania,Lackawanna,67,52,46,24,29,46,38,2471
Pennsylvania,Lancaster,67,7,15,7,45,13,60,2482
Pennsylvania,Lawrence,67,64,61,57,44,48,52,2488
Pennsylvania,Lebanon,67,19,43,18,12,19,65,2492
Pennsylvania,Lehigh,67,12,32,13,19,36,61,2496
Pennsylvania,Luzerne,67,59,58,46,30,64,45,2501
Pennsylvania,Lycoming,67,25,33,44,6,30,37,2505
Pennsylvania,McKean,67,43,60,52,59,51,14,2509
Pennsylvania,Mercer,67,58,36,48,49,43,28,2513
Pennsylvania,Mifflin,67,41,55,58,52,50,6,2517
Pennsylvania,Monroe,67,26,48,15,62,52,39,2521
Pennsylvania,Montgomery,67,4,2,2,2,2,64,2528
Pennsylvania,Montour,67,24,13,17,1,17,5,2533
Pennsylvania,Northampton,67,9,26,12,16,14,66,2537
Pennsylvania,Northumberland,67,56,47,56,28,62,50,2544
Pennsylvania,Perry,67,48,29,33,55,16,40,2554
Pennsylvania,Philadelphia,67,65,67,49,64,67,9,2563
Pennsylvania,Pike,67,38,16,9,56,29,62,2571
Pennsylvania,Potter,67,45,37,59,65,63,2,2575
Pennsylvania,Schuylkill,67,63,54,47,40,59,49,2581
Pennsylvania,Snyder,67,5,27,42,18,40,36,2583
Pennsylvania,Somerset,67,40,49,61,58,53,25,2589
Pennsylvania,Sullivan,67,32,9,55,34,42,3,2293
Pennsylvania,Susquehanna,67,44,42,54,63,33,44,2298
Pennsylvania,Tioga,67,22,17,45,24,41,16,2305
Pennsylvania,Union,67,2,5,22,3,10,4,2313
Pennsylvania,Venango,67,54,57,63,60,28,22,2316
Pennsylvania,Warren,67,14,39,37,23,22,12,2322
Pennsylvania,Washington,67,53,11,27,25,11,42,2346
Pennsylvania,Wayne,67,31,24,25,46,35,47,2363
Pennsylvania,Westmoreland,67,46,8,16,11,9,51,2394
Pennsylvania,Wyoming,67,67,14,35,36,31,34,2407
Pennsylvania,York,67,21,25,14,17,12,55,2419
Rhode Island,Bristol,5,1,1,1,1,2,3,2433
Rhode Island,Kent,5,4,4,4,4,4,2,2444
Rhode Island,Newport,5,2,2,2,3,3,1,2460
Rhode Island,Providence,5,5,5,5,5,5,5,2475
Rhode Island,Washington,5,3,3,3,2,1,4,2484
South Carolina,Abbeville,46,20,23,22,20,24,37,2489
South Carolina,Aiken,46,18,11,14,21,15,30,2503
South Carolina,Allendale,46,40,46,46,8,46,41,2527
South Carolina,Anderson,46,14,14,15,9,11,34,2559
South Carolina,Bamberg,46,41,36,37,32,39,18,2592
South Carolina,Barnwell,46,33,35,39,33,40,32,2605
South Carolina,Beaufort,46,1,1,2,5,7,6,2626
South Carolina,Berkeley,46,6,7,7,15,5,31,2631
South Carolina,Calhoun,46,25,21,23,27,25,44,2635
South Carolina,Charleston,46,5,3,1,1,1,7,2691
South Carolina,Cherokee,46,30,29,43,25,21,36,2700
South Carolina,Chester,46,36,34,41,26,35,24,2704
South Carolina,Chesterfield,46,28,32,33,43,29,22,2708
South Carolina,Clarendon,46,26,31,32,40,38,12,2715
South Carolina,Colleton,46,42,38,36,38,34,8,2718
South Carolina,Darlington,46,34,28,24,39,31,15,2721
South Carolina,Dillon,46,38,45,45,37,42,2,2725
South Carolina,Dorchester,46,4,5,4,16,6,28,2730
South Carolina,Edgefield,46,2,16,18,28,20,14,2735
South Carolina,Fairfield,46,35,33,38,23,36,46,2738
South Carolina,Florence,46,31,27,25,24,18,9,2742
South Carolina,Georgetown,46,29,18,13,19,28,3,2752
South Carolina,Greenville,46,7,4,3,2,4,13,2759
South Carolina,Greenwood,46,19,19,21,4,22,25,2764
South Carolina,Hampton,46,32,41,31,36,32,5,2767
South Carolina,Horry,46,15,17,11,31,17,4,2774
South Carolina,Jasper,46,21,25,28,46,27,42,2783
South Carolina,Kershaw,46,13,15,19,12,12,19,2787
South Carolina,Lancaster,46,17,8,9,34,13,39,2790
South Carolina,Laurens,46,24,30,30,22,26,23,2794
South Carolina,Lee,46,44,44,44,41,41,35,2800
South Carolina,Lexington,46,9,6,10,7,3,38,2803
South Carolina,McCormick,46,45,24,16,10,33,43,2807
South Carolina,Marion,46,43,40,35,44,44,11,2811
South Carolina,Marlboro,46,39,43,40,42,45,16,2813
South Carolina,Newberry,46,12,26,26,18,16,20,2818
South Carolina,Oconee,46,22,13,17,14,14,1,2822
South Carolina,Orangeburg,46,37,37,29,30,37,29,2829
South Carolina,Pickens,46,11,9,6,13,10,33,2834
South Carolina,Richland,46,10,10,8,3,9,10,2843
South Carolina,Saluda,46,8,22,20,45,19,26,2846
South Carolina,Spartanburg,46,16,12,12,11,8,27,2851
South Carolina,Sumter,46,23,20,27,29,23,17,2855
South Carolina,Union,46,27,39,42,17,30,40,2860
South Carolina,Williamsburg,46,46,42,34,35,43,45,2864
South Carolina,York,46,3,2,5,6,2,21,2867
South Dakota,Aurora,61,30,27,22,42,22,11,2870
South Dakota,Beadle,61,19,40,42,49,42,27,2874
South Dakota,Bennett,61,56,51,54,60,55,10,2876
South Dakota,Bon Homme,61,8,19,39,28,40,50,2879
South Dakota,Brookings,61,1,6,2,17,3,15,2882
South Dakota,Brown,61,4,28,13,11,14,33,2885
South Dakota,Brule,61,16,34,32,22,41,34,2888
South Dakota,Buffalo,61,59,61,61,24,60,32,2891
South Dakota,Butte,61,26,48,40,32,44,31,2895
South Dakota,Campbell,61,NR,NR,NR,NR,NR,NR,2897
South Dakota,Charles Mix,61,53,47,50,47,50,49,2900
South Dakota,Clark,61,30,46,31,35,38,38,2901
South Dakota,Clay,61,7,18,11,15,9,41,2903
South Dakota,Codington,61,11,38,34,9,27,57,2906
South Dakota,Corson,61,60,57,59,57,56,9,2907
South Dakota,Custer,61,23,39,20,27,48,22,2908
South Dakota,Davison,61,18,36,35,6,24,37,2910
South Dakota,Day,61,50,35,49,46,47,39,2911
South Dakota,Deuel,61,30,4,43,41,34,23,2912
South Dakota,Dewey,61,58,56,55,59,53,18,2914
South Dakota,Douglas,61,30,12,18,34,23,42,2916
South Dakota,Edmunds,61,30,26,30,19,6,14,2917
South Dakota,Fall River,61,28,50,45,29,43,20,2919
South Dakota,Faulk,61,30,33,47,45,32,28,2921
South Dakota,Grant,61,6,8,5,31,8,44,2922
South Dakota,Gregory,61,30,23,27,56,35,24,2923
South Dakota,Haakon,61,30,41,33,40,29,3,2924
South Dakota,Hamlin,61,10,1,23,20,25,17,2926
South Dakota,Hand,61,30,17,36,16,2,30,2928
South Dakota,Hanson,61,30,2,6,13,36,53,2929
South Dakota,Harding,61,NR,NR,NR,NR,NR,NR,2931
South Dakota,Hughes,61,17,21,17,5,4,16,2933
South Dakota,Hutchinson,61,15,20,10,36,18,56,2934
South Dakota,Hyde,61,NR,NR,NR,NR,NR,NR,2937
South Dakota,Jackson,61,54,55,53,58,54,2,2939
South Dakota,Jerauld,61,30,30,12,30,20,12,2941
South Dakota,Jones,61,NR,NR,NR,NR,NR,NR,2944
South Dakota,Kingsbury,61,30,14,15,21,17,51,2945
South Dakota,Lake,61,3,13,24,8,28,29,2401
South Dakota,Lawrence,61,25,44,8,7,21,40,2406
South Dakota,Lincoln,61,2,11,1,1,1,54,2410
South Dakota,Lyman,61,51,52,51,37,52,8,2417
South Dakota,McCook,61,24,10,19,33,12,58,2422
South Dakota,McPherson,61,30,54,26,2,46,5,2426
South Dakota,Marshall,61,30,5,14,53,19,47,2430
South Dakota,Meade,61,14,43,4,14,10,52,2442
South Dakota,Mellette,61,57,53,56,52,57,26,2450
South Dakota,Miner,61,30,37,21,23,30,25,2456
South Dakota,Minnehaha,61,13,32,9,10,15,55,2467
South Dakota,Moody,61,9,25,44,48,33,35,2485
South Dakota,Shannon,61,61,58,58,55,61,21,2519
South Dakota,Pennington,61,21,42,16,18,37,60,2497
South Dakota,Perkins,61,30,31,41,44,13,1,2502
South Dakota,Potter,61,30,24,25,25,7,6,2506
South Dakota,Roberts,61,52,29,52,50,51,36,2511
South Dakota,Sanborn,61,30,15,37,38,39,19,2514
South Dakota,Spink,61,20,3,46,43,26,48,2523
South Dakota,Stanley,61,30,7,3,4,16,7,2530
South Dakota,Sully,61,NR,NR,NR,NR,NR,NR,2535
South Dakota,Todd,61,55,59,60,61,59,46,2540
South Dakota,Tripp,61,27,49,48,51,45,43,2546
South Dakota,Turner,61,29,9,28,26,5,61,2550
South Dakota,Union,61,5,16,7,12,11,45,2557
South Dakota,Walworth,61,12,22,29,39,49,13,2561
South Dakota,Yankton,61,22,45,38,3,31,59,2569
South Dakota,Ziebach,61,30,60,57,54,58,4,2578
Tennessee,Anderson,95,59,23,20,9,26,95,2584
Tennessee,Bedford,95,35,38,58,63,36,47,2593
Tennessee,Benton,95,93,66,83,61,73,67,2598
Tennessee,Bledsoe,95,7,45,92,89,93,14,2602
Tennessee,Blount,95,14,8,15,10,9,38,2622
Tennessee,Bradley,95,9,28,32,43,16,66,2627
Tennessee,Campbell,95,92,87,68,75,87,45,2633
Tennessee,Cannon,95,84,48,71,58,27,46,2638
Tennessee,Carroll,95,45,30,31,40,54,58,2648
Tennessee,Carter,95,58,67,81,59,49,56,2654
Tennessee,Cheatham,95,42,20,11,33,6,44,2660
Tennessee,Chester,95,6,9,25,55,21,13,2664
Tennessee,Claiborne,95,71,77,39,44,68,84,2670
Tennessee,Clay,95,81,93,76,85,92,24,2679
Tennessee,Cocke,95,94,86,93,30,91,61,2686
Tennessee,Coffee,95,44,39,27,20,29,52,2689
Tennessee,Crockett,95,67,58,87,78,38,65,2693
Tennessee,Cumberland,95,49,21,59,15,52,17,2696
Tennessee,Davidson,95,11,10,6,19,11,37,2698
Tennessee,Decatur,95,28,42,44,53,63,79,2705
Tennessee,DeKalb,95,80,62,28,69,71,12,2710
Tennessee,Dickson,95,47,17,12,42,17,26,2717
Tennessee,Dyer,95,78,81,82,79,67,3,2723
Tennessee,Fayette,95,12,24,37,25,22,55,2726
Tennessee,Fentress,95,57,73,51,92,55,70,2731
Tennessee,Franklin,95,22,18,18,18,18,15,2734
Tennessee,Gibson,95,54,33,64,22,35,43,2739
Tennessee,Giles,95,37,49,45,47,44,76,2743
Tennessee,Grainger,95,74,68,34,74,56,25,2748
Tennessee,Greene,95,66,53,42,26,64,60,2750
Tennessee,Grundy,95,90,92,67,82,88,81,2754
Tennessee,Hamblen,95,41,47,46,50,45,82,2757
Tennessee,Hamilton,95,10,26,7,6,13,19,2761
Tennessee,Hancock,95,95,85,88,86,94,29,2766
Tennessee,Hardeman,95,33,94,90,48,86,49,2770
Tennessee,Hardin,95,89,70,80,49,70,20,2773
Tennessee,Hawkins,95,46,46,52,38,66,87,2779
Tennessee,Haywood,95,88,91,85,62,85,73,2781
Tennessee,Henderson,95,38,72,78,65,57,32,2786
Tennessee,Henry,95,70,37,73,14,60,7,2789
Tennessee,Hickman,95,64,44,63,56,59,83,2792
Tennessee,Houston,95,53,56,36,70,82,5,2796
Tennessee,Humphreys,95,73,50,60,68,34,31,2798
Tennessee,Jackson,95,36,80,74,88,80,92,2801
Tennessee,Jefferson,95,29,36,48,21,20,35,2804
Tennessee,Johnson,95,83,69,56,51,77,59,2808
Tennessee,Knox,95,24,4,4,2,5,80,2814
Tennessee,Lake,95,82,90,95,87,95,18,2817
Tennessee,Lauderdale,95,68,95,94,84,90,90,2821
Tennessee,Lawrence,95,51,55,66,45,48,39,2823
Tennessee,Lewis,95,87,59,79,73,58,1,2825
Tennessee,Lincoln,95,55,31,53,32,39,71,2828
Tennessee,Loudon,95,17,5,8,8,14,93,2830
Tennessee,McMinn,95,72,43,41,36,41,68,2833
Tennessee,McNairy,95,69,40,70,52,74,42,2836
Tennessee,Macon,95,62,84,77,95,40,28,2839
Tennessee,Madison,95,40,52,35,5,43,8,2841
Tennessee,Marion,95,65,61,57,31,50,94,2844
Tennessee,Marshall,95,19,35,49,24,30,75,2848
Tennessee,Maury,95,13,14,10,4,7,9,2850
Tennessee,Meigs,95,85,63,50,67,65,78,2854
Tennessee,Monroe,95,50,78,47,77,53,89,2857
Tennessee,Montgomery,95,18,6,29,13,12,23,2859
Tennessee,Moore,95,5,19,13,29,8,53,2863
Tennessee,Morgan,95,76,89,91,91,79,72,2866
Tennessee,Obion,95,21,79,84,34,61,40,2872
Tennessee,Overton,95,27,29,40,57,47,30,2875
Tennessee,Perry,95,77,82,86,94,89,4,2878
Tennessee,Pickett,95,52,32,33,83,75,2,2881
Tennessee,Polk,95,79,54,69,60,46,57,2883
Tennessee,Putnam,95,8,12,14,16,24,16,2890
Tennessee,Rhea,95,60,51,72,39,83,33,2893
Tennessee,Roane,95,61,27,24,17,42,88,2001
Tennessee,Robertson,95,15,7,26,41,10,54,2011
Tennessee,Rutherford,95,4,11,2,12,3,69,2015
Tennessee,Scott,95,91,88,89,76,84,51,2020
Tennessee,Sequatchie,95,26,64,30,28,76,34,2025
Tennessee,Sevier,95,39,22,54,80,19,41,2030
Tennessee,Shelby,95,63,75,16,37,69,63,2033
Tennessee,Smith,95,25,65,23,71,32,85,2037
Tennessee,Stewart,95,34,15,17,81,37,21,2041
Tennessee,Sullivan,95,31,25,19,7,25,48,2046
Tennessee,Sumner,95,3,3,3,23,4,11,2050
Tennessee,Tipton,95,23,34,38,46,23,62,2055
Tennessee,Trousdale,95,16,60,22,90,28,22,2062
Tennessee,Unicoi,95,86,76,21,35,51,6,2069
Tennessee,Union,95,75,83,75,66,78,77,2073
Tennessee,Van Buren,95,56,74,62,93,81,74,2077
Tennessee,Warren,95,43,71,65,64,62,36,2081
Tennessee,Washington,95,30,13,9,3,15,50,2085
Tennessee,Wayne,95,48,41,61,72,72,86,2089
Tennessee,Weakley,95,20,16,43,54,31,10,2096
Tennessee,White,95,32,57,55,27,33,27,2100
Tennessee,Williamson,95,1,1,1,1,1,64,2105
Tennessee,Wilson,95,2,2,5,11,2,91,2111
Texas,Anderson,243,229,108,226,92,149,186,2113
Texas,Andrews,243,60,48,97,171,84,99,2117
Texas,Angelina,243,144,218,199,44,139,200,2124
Texas,Aransas,243,205,204,181,42,218,124,2162
Texas,Archer,243,27,19,76,51,24,44,2168
Texas,Armstrong,243,109,24,111,96,10,10,2172
Texas,Atascosa,243,73,101,142,173,145,105,2173
Texas,Austin,243,62,57,61,82,65,129,2177
Texas,Bailey,243,101,114,63,226,162,19,2179
Texas,Bandera,243,82,72,77,58,73,140,2183
Texas,Bastrop,243,58,64,191,99,129,136,2190
Texas,Baylor,243,235,68,72,134,46,14,2192
Texas,Bee,243,160,212,174,198,217,181,2196
Texas,Bell,243,56,74,112,24,62,166,2198
Texas,Bexar,243,39,97,10,16,100,112,2203
Texas,Blanco,243,28,12,22,75,22,142,2207
Texas,Borden,243,NR,NR,NR,NR,NR,NR,2212
Texas,Bosque,243,148,45,73,141,63,172,2216
Texas,Bowie,243,184,202,233,22,177,159,2224
Texas,Brazoria,243,19,35,32,43,36,240,2240
Texas,Brazos,243,8,41,19,10,43,232,2253
